orig_hname,new_hname,hclass,horder,hfamily,genus,spp,subspp
Amphilophus rostratus,Amphilophus rostratus,Actinopterygii,Perciformes,Cichlidae,Amphilophus,rostratus,NA
Amphiprion akindynos,Amphiprion akindynos,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,akindynos,NA
Amphiprion clarkii,Amphiprion clarkii,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,clarkii,NA
Amphiprion perideraion,Amphiprion perideraion,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,perideraion,NA
Amphistichus argenteus,Amphistichus argenteus,Actinopterygii,Perciformes,Embiotocidae,Amphistichus,argenteus,NA
Amphistichus rhodoterus,Amphistichus rhodoterus,Actinopterygii,Perciformes,Embiotocidae,Amphistichus,rhodoterus,NA
Anabas testudineus,Anabas testudineus,Actinopterygii,Perciformes,Anabantidae,Anabas,testudineus,NA
Anableps microlepis,Anableps microlepis,Actinopterygii,Cyprinodontiformes,Anablepidae,Anableps,microlepis,NA
Anacanthobatis folirostris,Anacanthobatis folirostris,Chondrichthyes,Rajiformes,Anacanthobatidae,Anacanthobatis,folirostris,NA
Anampses caeruleopunctatus,Anampses caeruleopunctatus,Actinopterygii,Perciformes,Labridae,Anampses,caeruleopunctatus,NA
Anampses geographicus,Anampses geographicus,Actinopterygii,Perciformes,Labridae,Anampses,geographicus,NA
Anampses neoguinaicus,Anampses neoguinaicus,Actinopterygii,Perciformes,Labridae,Anampses,neoguinaicus,NA
Anarhichas denticulatus,Anarhichas denticulatus,Actinopterygii,Perciformes,Anarhichadidae,Anarhichas,denticulatus,NA
Anarhichas lupus,Anarhichas lupus,Actinopterygii,Perciformes,Anarhichadidae,Anarhichas,lupus,NA
Anarhichas minor,Anarhichas minor,Actinopterygii,Perciformes,Anarhichadidae,Anarhichas,minor,NA
Anarrhichthys ocellatus,Anarrhichthys ocellatus,Actinopterygii,Perciformes,Anarhichadidae,Anarrhichthys,ocellatus,NA
Anchoa marinii,Anchoa marinii,Actinopterygii,Clupeiformes,Engraulidae,Anchoa,marinii,NA
Ancistrus cirrhosus,Ancistrus cirrhosus,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,cirrhosus,NA
Ancylopsetta dilecta,Ancylopsetta dilecta,Actinopterygii,Pleuronectiformes,Paralichthyidae,Ancylopsetta,dilecta,NA
Anguilla anguilla,Anguilla anguilla,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,anguilla,NA
Anguilla bengalensis,Anguilla bengalensis,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,bengalensis,NA
Anguilla bicolor,Anguilla bicolor,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,bicolor,NA
Anguilla dieffenbachii,Anguilla dieffenbachii,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,dieffenbachii,NA
Anguilla japonica,Anguilla japonica,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,japonica,NA
Anguilla mossambica,Anguilla mossambica,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,mossambica,NA
Anguilla reinhardtii,Anguilla reinhardtii,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,reinhardtii,NA
